countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
NGA,Nigeria,,national,2024-12-03,MIXED,fcs,98651234,0.4865454769133088
NGA,Nigeria,,national,2024-12-03,MIXED,rcsi,56868679,0.2804749360305506
NGA,Nigeria,,national,2024-12-03,MIXED,health access,33216492,0.5062274095298844
NGA,Nigeria,,national,2024-12-03,MIXED,market access,35984616,0.22475775605382903
NGA,Nigeria,,national,2024-12-02,MIXED,fcs,98879704,0.48767228537381313
NGA,Nigeria,,national,2024-12-02,MIXED,rcsi,56599858,0.2791491174234634
NGA,Nigeria,,national,2024-12-02,MIXED,health access,33276130,0.5082594571937208
NGA,Nigeria,,national,2024-12-02,MIXED,market access,36156569,0.2258317641918268
NGA,Nigeria,,national,2024-12-01,MIXED,fcs,99137287,0.48894267843934497
NGA,Nigeria,,national,2024-12-01,MIXED,rcsi,56657987,0.27943581444795784
NGA,Nigeria,,national,2024-12-01,MIXED,health access,33065429,0.5045254138299027
NGA,Nigeria,,national,2024-12-01,MIXED,market access,36137680,0.22571379226658247
NGA,Nigeria,,national,2024-11-30,MIXED,fcs,98959993,0.48806826876106496
NGA,Nigeria,,national,2024-11-30,MIXED,rcsi,56965024,0.2809501072176968
NGA,Nigeria,,national,2024-11-30,MIXED,health access,33132782,0.5031572201054332
NGA,Nigeria,,national,2024-11-30,MIXED,market access,36221524,0.22623746923101565
NGA,Nigeria,,national,2024-11-29,MIXED,fcs,99154519,0.489027655758945
NGA,Nigeria,,national,2024-11-29,MIXED,rcsi,56741062,0.279845532103102
NGA,Nigeria,,national,2024-11-29,MIXED,health access,33058344,0.5028973496916093
NGA,Nigeria,,national,2024-11-29,MIXED,market access,36371256,0.22717268633405358
NGA,Nigeria,,national,2024-11-28,MIXED,fcs,99386628,0.4901724221621558
NGA,Nigeria,,national,2024-11-28,MIXED,rcsi,56606305,0.2791809138700203
NGA,Nigeria,,national,2024-11-28,MIXED,health access,33098105,0.5029999444984885
NGA,Nigeria,,national,2024-11-28,MIXED,market access,36155586,0.22582562688507918
NGA,Nigeria,,national,2024-11-27,MIXED,fcs,99327021,0.4898784418938261
NGA,Nigeria,,national,2024-11-27,MIXED,rcsi,56866700,0.28046517565087997
NGA,Nigeria,,national,2024-11-27,MIXED,health access,33169747,0.5032920622468562
NGA,Nigeria,,national,2024-11-27,MIXED,market access,36191262,0.22604845459171255
NGA,Nigeria,,national,2024-11-26,MIXED,fcs,99592498,0.4911877590929964
NGA,Nigeria,,national,2024-11-26,MIXED,rcsi,56949019,0.2808711709485569
NGA,Nigeria,,national,2024-11-26,MIXED,health access,33276967,0.5066710499563872
NGA,Nigeria,,national,2024-11-26,MIXED,market access,36143681,0.22575126038691176
NGA,Nigeria,,national,2024-11-25,MIXED,fcs,99890615,0.49265807373822335
NGA,Nigeria,,national,2024-11-25,MIXED,rcsi,56967991,0.28096474679183636
NGA,Nigeria,,national,2024-11-25,MIXED,health access,33193477,0.5067170318064899
NGA,Nigeria,,national,2024-11-25,MIXED,market access,36096632,0.2254574012800592
NGA,Nigeria,,national,2024-11-24,MIXED,fcs,100057580,0.49348154104074926
NGA,Nigeria,,national,2024-11-24,MIXED,rcsi,57151479,0.28186969872425477
NGA,Nigeria,,national,2024-11-24,MIXED,health access,33268707,0.5078382799187626
NGA,Nigeria,,national,2024-11-24,MIXED,market access,36306332,0.2267671749190078
NGA,Nigeria,,national,2024-11-23,MIXED,fcs,100305491,0.49470426285763086
NGA,Nigeria,,national,2024-11-23,MIXED,rcsi,57186861,0.2820442069840661
NGA,Nigeria,,national,2024-11-23,MIXED,health access,33419982,0.5113197238503601
NGA,Nigeria,,national,2024-11-23,MIXED,market access,36519725,0.22810001481474532
NGA,Nigeria,,national,2024-11-22,MIXED,fcs,100209040,0.49422853806192485
NGA,Nigeria,,national,2024-11-22,MIXED,rcsi,57448269,0.2833334597563073
NGA,Nigeria,,national,2024-11-22,MIXED,health access,33266761,0.5112714797433044
NGA,Nigeria,,national,2024-11-22,MIXED,market access,36587460,0.22852308356741194
NGA,Nigeria,,national,2024-11-21,MIXED,fcs,100564392,0.4959811077805054
NGA,Nigeria,,national,2024-11-21,MIXED,rcsi,57281058,0.2825087704341521
NGA,Nigeria,,national,2024-11-21,MIXED,health access,33397725,0.5129528120437971
NGA,Nigeria,,national,2024-11-21,MIXED,market access,36467836,0.22777591922890172
NGA,Nigeria,,national,2024-11-20,MIXED,fcs,100693055,0.49661568822173113
NGA,Nigeria,,national,2024-11-20,MIXED,rcsi,57364093,0.28291830577998045
NGA,Nigeria,,national,2024-11-20,MIXED,health access,33549909,0.5151076090849668
